Время начала - чч:мм:сс.мс	Время начала - сс.мс	Время окончания - чч:мм:сс.мс	Время окончания - сс.мс	@amg1995f-text	@lk1990f-text	@mn1985m-text	
00:07:37.323	457.323	00:07:39.478	459.478	потому что он может в любое время сорваться		
00:07:40.104	460.104	00:07:56.164	476.164	и все/ но как бы я стараюсь иногда так чтобы какую-то часть времени он со мной какую-то часть времени я ему тоже помогаю/ вот/ чем могу/ стараюсь всем но по... понемножку он меня часто просит какие-нибудь видосы смонтировать/ для компании		
00:07:57.066	477.066	00:08:07.799	487.799	а я могу монтировать все все все что нужно как бы я т..творческими м...моментами занимаюсь раскруткой/ придумываю ему и собственно говоря как-то так мы ладим		
00:08:10.379	490.379	00:08:11.551	491.551	естественно	ну ты же еще и связана так или иначе с актерской деятельностью как раз видеоформатом то есть ты сидишь монтируешь там	
00:08:13.005	493.005	00:08:26.406	506.406	да мне это [нрзб] ммм ммм мне/ и на компе и на короче/ что мне под руку попадается у меня сто пятьдесят приложений для этого и на компьютере программ очень много/ я в... когда училась во ВГИКе а я/ да я училась когда-то во ВГИКе		
00:08:28.608	508.608	00:08:57.480	537.48	я мечтала после актерского факультета потом окончить режиссерский/ но как-то на тот момент это все/ почему-то прошло стороной потому что я решила что блин/ надо становиться нет ненененене/ я ВГИК закончила в девятнадцать лет то есть я еще пять лет между прочим сидела и ждала тхм/ этой свадьбы/ просто подумала что наверно в какой-то момент нужно встать на ноги хотя бы в тех профессиях которыми я		
00:08:58.007	538.007	00:09:00.014	540.014	не то чтобы владею все пытаюсь овладеть		
00:04:47.983	287.983	00:04:49.100	289.1		да // #смеется# здравствуйте пожалуйста	один на всю страну восемьдесят девять и девять в Москве сто два ноль в Санкт-Петербурге семьсот сорок второй/ кто? канал? правильно канал в триколоре трансляция прямая страна точка фм а епще мы есть в Яндекс-эфире и/ друзья мои/ у нас сегодня Алина Гросу в гостях/ не просто так [нрзб]
00:04:55.659	295.659	00:04:57.363	297.363		здравствуйте пожалуйста	
00:04:57.727	297.727	00:04:58.352	298.352		#смеется#	подожди/ тут был твой каминаут/ щас будет мой каминаут
00:04:59.125	299.125	00:05:01.389	301.389		да пожалуйста пожалуйста что у тебя было в детстве?	
00:05:11.540	311.54	00:05:12.540	312.54		#смеется#	уф сегодня/ вечер приза.. у меня не ну в детстве как [нрзб] неделю назад считается в детстве? подходит ко мне Лиза/ вот там в гримерке говорит а ты знаешь кто придет через неделю? я говорю да кто? она говорит да/ ты угадай вот ты кого/ хотел здесь увидеть? неужели Филипп Бедросовича? она говорит нет/ еще лучше/ я говорю кто? Алина Гросу будет я грю серьезнго я так обрадовался правда/ а потом начал готовиться к эфиру и узнал что Вы/ вышли замуж
00:05:14.933	314.933	00:05:15.933	315.933		женский пол женский	уф сегодня/ вечер приза.. у меня не ну в детстве как [нрзб] неделю назад считается в детстве? подходит ко мне Лиза/ вот там в гримерке говорит а ты знаешь кто придет через неделю? я говорю да кто? она говорит да/ ты угадай вот ты кого/ хотел здесь увидеть? неужели Филипп Бедросовича? она говорит нет/ еще лучше/ я говорю кто? Алина Гросу будет я грю серьезнго я так обрадовался правда/ а потом начал готовиться к эфиру и узнал что Вы/ вышли замуж
00:05:22.435	322.435	00:05:23.818	323.818		я тебе сказала что замуж вышла	
00:05:25.860	325.86	00:05:28.880	328.88		#смеется# а вопрос твой в чем? что вот [нрзб]	
00:05:29.462	329.462	00:05:30.075	330.075		а все пока	
00:05:30.715	330.715	00:05:31.151	331.151		продолжаем	
00:05:34.464	334.464	00:05:35.875	335.875		#смеется# / вопросов	
00:05:37.411	337.411	00:05:58.600	358.6		слушай кстати а ты знаешь вот такая фишка есть что многие аа знаменитые люди аа скрывают свой статус вообще личный ну чтобы так покло... ну особенно у мужчин такая фишка [нрзб] не показывают своих девушек/ не показывают своих жен не рассказывают свой вот это вот/ в активном поиске у них все время статус чтобы фанатки а не отпадали вот у тебя такая история была вообще в голове? [нрзб] надо?	
00:05:59.266	359.266	00:06:01.100	361.1		а все понятно так и быть идея	
00:06:05.171	365.171	00:06:05.507	365.507		#смеется#	
00:06:07.458	367.458	00:06:08.651	368.651		ммм/ Саш привет	
00:06:22.433	382.433	00:06:23.433	383.433	блин ну а что я не человек/ я не знаю как бы ну по идее надо уже было выходить замуж все-таки четыре четыре года/ вместе/ да/ и мы просто как две половинки одного целого мы очень похожи что внешне что внутренне а иногда кажется что мы сиамские близнецы или как брат с сестрой/ и поэтому нам настолько м легко и просто то есть вместе	совместного	
00:06:23.800	383.8	00:06:24.800	384.8	блин ну а что я не человек/ я не знаю как бы ну по идее надо уже было выходить замуж все-таки четыре четыре года/ вместе/ да/ и мы просто как две половинки одного целого мы очень похожи что внешне что внутренне а иногда кажется что мы сиамские близнецы или как брат с сестрой/ и поэтому нам настолько м легко и просто то есть вместе	пути	
00:06:24.864	384.864	00:06:25.000	385.0	блин ну а что я не человек/ я не знаю как бы ну по идее надо уже было выходить замуж все-таки четыре четыре года/ вместе/ да/ и мы просто как две половинки одного целого мы очень похожи что внешне что внутренне а иногда кажется что мы сиамские близнецы или как брат с сестрой/ и поэтому нам настолько м легко и просто то есть вместе	#смеется#	
00:06:29.676	389.676	00:06:29.820	389.82	блин ну а что я не человек/ я не знаю как бы ну по идее надо уже было выходить замуж все-таки четыре четыре года/ вместе/ да/ и мы просто как две половинки одного целого мы очень похожи что внешне что внутренне а иногда кажется что мы сиамские близнецы или как брат с сестрой/ и поэтому нам настолько м легко и просто то есть вместе	угу	
00:06:38.240	398.24	00:06:51.280	411.28		как саша муж твой уже/ мы вас поздравляем/ я поздравляю/ ты нет/а... относится к твоим постоянным переездам там гастролям/ ненормированный да/ совсем нестандартный образ жизни	
00:06:53.545	413.545	00:06:54.727	414.727	да/ как сказать с одной стороны он/ нет у него очень много работы поэтому он тоже старается все-таки становиться на ноги у нас такой период взросления становления сейчас/ но я последнее время реально не могу без него мотаться куда-то я всегда его беру с собой/ даже если он сильно сопротивляется и говорит что у меня работа/ но это но/ я стараюсь	или он стобой всегда?	
00:06:56.974	416.974	00:06:57.169	417.169	да/ как сказать с одной стороны он/ нет у него очень много работы поэтому он тоже старается все-таки становиться на ноги у нас такой период взросления становления сейчас/ но я последнее время реально не могу без него мотаться куда-то я всегда его беру с собой/ даже если он сильно сопротивляется и говорит что у меня работа/ но это но/ я стараюсь	угу	
00:07:09.652	429.652	00:07:09.805	429.805	да/ как сказать с одной стороны он/ нет у него очень много работы поэтому он тоже старается все-таки становиться на ноги у нас такой период взросления становления сейчас/ но я последнее время реально не могу без него мотаться куда-то я всегда его беру с собой/ даже если он сильно сопротивляется и говорит что у меня работа/ но это но/ я стараюсь	угу	
00:07:12.413	432.413	00:07:17.000	437.0		а у Саши есть режим то есть у него пять два работа как или или он достаточно свободен	
00:07:21.108	441.108	00:07:22.521	442.521		ну то есть он может регулировать свое время	
00:07:26.892	446.892	00:07:27.165	447.165	он может регулировать и он может в принципе и на расстоянии как бы какими-то делами заниматься/ ну конечно ему важно все контролировать потому что без контроля не получается так	угу	
00:07:27.165	447.165	00:07:27.937	447.937	он может регулировать и он может в принципе и на расстоянии как бы какими-то делами заниматься/ ну конечно ему важно все контролировать потому что без контроля не получается так	угу	
00:07:34.301	454.301	00:07:35.301	455.301		нет я спрашиваю	слушайте девчата это еще тяжелее вы же сказали ну он же не пять два работает/ да это ещ... да это еще тяжелее когда человек
00:07:36.170	456.17	00:07:37.443	457.443		когда ты сам себя	
00:07:47.090	467.09	00:07:47.863	467.863	и все/ но как бы я стараюсь иногда так чтобы какую-то часть времени он со мной какую-то часть времени я ему тоже помогаю/ вот/ чем могу/ стараюсь всем но по... понемножку он меня часто просит какие-нибудь видосы смонтировать/ для компании	угу	
00:07:56.238	476.238	00:07:57.070	477.07		а ты монтируешь сама?	
00:08:07.717	487.717	00:08:12.906	492.906		ну ты же еще и связана так или иначе с актерской деятельностью как раз видеоформатом то есть ты сидишь монтируешь там	
00:08:13.583	493.583	00:08:15.654	495.654	да мне это [нрзб] ммм ммм мне/ и на компе и на короче/ что мне под руку попадается у меня сто пятьдесят приложений для этого и на компьютере программ очень много/ я в... когда училась во ВГИКе а я/ да я училась когда-то во ВГИКе	где-то в аймуви или ты на компе сидишь?	
00:08:16.904	496.904	00:08:18.132	498.132	да мне это [нрзб] ммм ммм мне/ и на компе и на короче/ что мне под руку попадается у меня сто пятьдесят приложений для этого и на компьютере программ очень много/ я в... когда училась во ВГИКе а я/ да я училась когда-то во ВГИКе	прикольно #смеется#	
00:08:20.727	500.727	00:08:21.772	501.772	да мне это [нрзб] ммм ммм мне/ и на компе и на короче/ что мне под руку попадается у меня сто пятьдесят приложений для этого и на компьютере программ очень много/ я в... когда училась во ВГИКе а я/ да я училась когда-то во ВГИКе	и ты вообще	
00:08:26.519	506.519	00:08:26.701	506.701		угу	
00:08:32.909	512.909	00:08:33.318	513.318	я мечтала после актерского факультета потом окончить режиссерский/ но как-то на тот момент это все/ почему-то прошло стороной потому что я решила что блин/ надо становиться нет ненененене/ я ВГИК закончила в девятнадцать лет то есть я еще пять лет между прочим сидела и ждала тхм/ этой свадьбы/ просто подумала что наверно в какой-то момент нужно встать на ноги хотя бы в тех профессиях которыми я	угу	
00:08:39.800	519.8	00:08:40.900	520.9	я мечтала после актерского факультета потом окончить режиссерский/ но как-то на тот момент это все/ почему-то прошло стороной потому что я решила что блин/ надо становиться нет ненененене/ я ВГИК закончила в девятнадцать лет то есть я еще пять лет между прочим сидела и ждала тхм/ этой свадьбы/ просто подумала что наверно в какой-то момент нужно встать на ноги хотя бы в тех профессиях которыми я	надо замуж выйти	
00:08:41.650	521.65	00:08:43.059	523.059	я мечтала после актерского факультета потом окончить режиссерский/ но как-то на тот момент это все/ почему-то прошло стороной потому что я решила что блин/ надо становиться нет ненененене/ я ВГИК закончила в девятнадцать лет то есть я еще пять лет между прочим сидела и ждала тхм/ этой свадьбы/ просто подумала что наверно в какой-то момент нужно встать на ноги хотя бы в тех профессиях которыми я	#смеется#	
00:08:47.227	527.227	00:08:48.545	528.545	я мечтала после актерского факультета потом окончить режиссерский/ но как-то на тот момент это все/ почему-то прошло стороной потому что я решила что блин/ надо становиться нет ненененене/ я ВГИК закончила в девятнадцать лет то есть я еще пять лет между прочим сидела и ждала тхм/ этой свадьбы/ просто подумала что наверно в какой-то момент нужно встать на ноги хотя бы в тех профессиях которыми я	ну да понятно	
00:08:57.479	537.479	00:08:57.944	537.944		уже владеешь	
00:09:00.454	540.454	00:09:01.363	541.363		ну понятно	
00:04:41.689	281.689	00:04:55.517	295.517			один на всю страну восемьдесят девять и девять в Москве сто два ноль в Санкт-Петербурге семьсот сорок второй/ кто? канал? правильно канал в триколоре трансляция прямая страна точка фм а епще мы есть в Яндекс-эфире и/ друзья мои/ у нас сегодня Алина Гросу в гостях/ не просто так [нрзб]
00:04:55.920	295.92	00:04:59.240	299.24			подожди/ тут был твой каминаут/ щас будет мой каминаут
00:05:00.000	300.0	00:05:22.444	322.444			уф сегодня/ вечер приза.. у меня не ну в детстве как [нрзб] неделю назад считается в детстве? подходит ко мне Лиза/ вот там в гримерке говорит а ты знаешь кто придет через неделю? я говорю да кто? она говорит да/ ты угадай вот ты кого/ хотел здесь увидеть? неужели Филипп Бедросовича? она говорит нет/ еще лучше/ я говорю кто? Алина Гросу будет я грю серьезнго я так обрадовался правда/ а потом начал готовиться к эфиру и узнал что Вы/ вышли замуж
00:05:23.610	323.61	00:05:26.274	326.274	да вы что! ну не расстраивайтесь/ не расстраивайтесь		я Вас... я Вас очень поздравляю
00:05:28.788	328.788	00:05:29.459	329.459			а нет вопросов
00:05:31.121	331.121	00:05:34.798	334.798			вот/ понима.../ я те так скажу/ Алина а вышла/ замуж и вопросов больше нет понимаешь?
00:05:36.595	336.595	00:05:37.416	337.416			у мужчин так
00:05:46.033	346.033	00:05:46.516	346.516		слушай кстати а ты знаешь вот такая фишка есть что многие аа знаменитые люди аа скрывают свой статус вообще личный ну чтобы так покло... ну особенно у мужчин такая фишка [нрзб] не показывают своих девушек/ не показывают своих жен не рассказывают свой вот это вот/ в активном поиске у них все время статус чтобы фанатки а не отпадали вот у тебя такая история была вообще в голове? [нрзб] надо?	так
00:05:51.694	351.694	00:05:52.086	352.086		слушай кстати а ты знаешь вот такая фишка есть что многие аа знаменитые люди аа скрывают свой статус вообще личный ну чтобы так покло... ну особенно у мужчин такая фишка [нрзб] не показывают своих девушек/ не показывают своих жен не рассказывают свой вот это вот/ в активном поиске у них все время статус чтобы фанатки а не отпадали вот у тебя такая история была вообще в голове? [нрзб] надо?	так
00:05:53.640	353.64	00:05:53.812	353.812		слушай кстати а ты знаешь вот такая фишка есть что многие аа знаменитые люди аа скрывают свой статус вообще личный ну чтобы так покло... ну особенно у мужчин такая фишка [нрзб] не показывают своих девушек/ не показывают своих жен не рассказывают свой вот это вот/ в активном поиске у них все время статус чтобы фанатки а не отпадали вот у тебя такая история была вообще в голове? [нрзб] надо?	так
00:06:08.211	368.211	00:06:08.954	368.954			мы знаем
00:06:19.957	379.957	00:06:20.245	380.245	блин ну а что я не человек/ я не знаю как бы ну по идее надо уже было выходить замуж все-таки четыре четыре года/ вместе/ да/ и мы просто как две половинки одного целого мы очень похожи что внешне что внутренне а иногда кажется что мы сиамские близнецы или как брат с сестрой/ и поэтому нам настолько м легко и просто то есть вместе		так
00:06:30.042	390.042	00:06:30.186	390.186	блин ну а что я не человек/ я не знаю как бы ну по идее надо уже было выходить замуж все-таки четыре четыре года/ вместе/ да/ и мы просто как две половинки одного целого мы очень похожи что внешне что внутренне а иногда кажется что мы сиамские близнецы или как брат с сестрой/ и поэтому нам настолько м легко и просто то есть вместе		так
00:06:41.932	401.932	00:06:42.169	402.169		как саша муж твой уже/ мы вас поздравляем/ я поздравляю/ ты нет/а... относится к твоим постоянным переездам там гастролям/ ненормированный да/ совсем нестандартный образ жизни	да
00:06:47.506	407.506	00:06:49.389	409.389		как саша муж твой уже/ мы вас поздравляем/ я поздравляю/ ты нет/а... относится к твоим постоянным переездам там гастролям/ ненормированный да/ совсем нестандартный образ жизни	вообще/ к лайфстайлу к образу жизни
00:07:23.500	443.5	00:07:24.000	444.0	он может регулировать и он может в принципе и на расстоянии как бы какими-то делами заниматься/ ну конечно ему важно все контролировать потому что без контроля не получается так		нет/ ему ещ...
00:07:31.199	451.199	00:07:36.933	456.933			слушайте девчата это еще тяжелее вы же сказали ну он же не пять два работает/ да это ещ... да это еще тяжелее когда человек
00:07:38.715	458.715	00:07:39.715	459.715			это вообще
00:07:54.636	474.636	00:07:55.045	475.045	и все/ но как бы я стараюсь иногда так чтобы какую-то часть времени он со мной какую-то часть времени я ему тоже помогаю/ вот/ чем могу/ стараюсь всем но по... понемножку он меня часто просит какие-нибудь видосы смонтировать/ для компании		так
00:08:26.750	506.75	00:08:27.750	507.75			мы этого коснемся
